config_id,cpu_model,cpu_sockets,cpu_cores_per_socket,ram_gb,disks,miran_price,selectel_price,selectel_currency,selectel_price_period,selectel_plan_id,selectel_match_score,selectel_stock_count,selectel_match_count,reg_cloud_price,reg_cloud_currency,reg_cloud_price_period,reg_cloud_plan_id,reg_cloud_match_score,reg_cloud_stock_count,reg_cloud_match_count,timeweb_price,timeweb_currency,timeweb_price_period,timeweb_plan_id,timeweb_match_score,timeweb_stock_count,timeweb_match_count
MIR-122,Intel Xeon Silver 4214R,2,12,128,2×1000 ГБ SSD,35136.0,,,,,,,,,,,,,,,,,,,,,
MIR-123,Intel Xeon Silver 4214R,2,12,128,2×2000 ГБ SSD,37210.0,,,,,,,,,,,,,,,,,,,,,
MIR-124,Intel Xeon Silver 4214R,2,12,128,2×1000 ГБ NVMe,41114.0,,,,,,,,,,,,,,,,,,,,,
MIR-125,Intel Xeon Silver 4214R,2,12,128,2×2000 ГБ NVMe,44164.0,,,,,,,,,,,,,,,,,,,,,
MIR-126,Intel Xeon Silver 4214R,2,12,192,2×1000 ГБ NVMe + 2×2000 ГБ SSD,49654.0,,,,,,,,,,,,,,,,,,,,,
MIR-127,Intel Xeon Silver 4214R,2,12,192,2×2000 ГБ NVMe,48678.0,,,,,,,,,,,,,,,,,,,,,
MIR-128,Intel Xeon Silver 4214R,2,12,256,2×1900 ГБ SSD,41358.0,,,,,,,,,,,,,,,,,,,,,
MIR-129,Intel Xeon Silver 4215R,2,8,64,2×1000 ГБ SSD,34160.0,,,,,,,,,,,,,,,,,,,,,
MIR-130,Intel Xeon Silver 4215R,2,8,96,2×2000 ГБ SSD,37820.0,,,,,,,,,,,,,,,,,,,,,
MIR-131,Intel Xeon Silver 4215R,2,8,128,2×1000 ГБ NVMe,43188.0,,,,,,,,,,,,,,,,,,,,,
MIR-132,Intel Xeon Silver 4215R,2,8,192,2×2000 ГБ NVMe,50630.0,,,,,,,,,,,,,,,,,,,,,
MIR-133,Intel Xeon Silver 4215R,2,8,192,2×1000 ГБ NVMe + 2×2000 ГБ SSD,51728.0,,,,,,,,,,,,,,,,,,,,,
MIR-134,Intel Xeon Silver 4215R,2,8,256,2×1000 ГБ NVMe + 2×480 ГБ SSD,49288.0,,,,,,,,,,,,,,,,,,,,,
MIR-135,Intel Xeon Gold 5218R,2,20,64,2×480 ГБ SSD,40870.0,,,,,,,,33300.0,RUB,month,RD-55039,100.0,,1.0,,,,,,,
MIR-136,Intel Xeon Gold 5218R,2,20,64,2×1000 ГБ SSD,42456.0,,,,,,,,,,,,,,,,,,,,,
MIR-137,Intel Xeon Gold 5218R,2,20,64,2×1000 ГБ NVMe,48434.0,,,,,,,,,,,,,,,,,,,,,
